currentDirection,currentSpeed,secondarySwellDirection,secondarySwellHeight,secondarySwellPeriod,swellDirection,swellHeight,swellPeriod,waterTemperature,waveDirection,waveHeight,wavePeriod,windDirection,windSpeed,windWaveDirection,windWaveHeight,windWavePeriod,DateTime
268.9,0.06,127.97,0.25,10.4,101.88,0.44,6.16,11.53,102.25,0.45,6.05,123.15,2.83,82.92,0.05,2.67,2026-05-23 21:00:00
284.76,0.05,127.95,0.25,10.27,102.72,0.43,6.19,11.5,103.6,0.44,6,124.73,2.98,127.6,0.08,1.69,2026-05-23 22:00:00
298.18,0.04,127.92,0.25,10.14,104.19,0.42,6.11,11.47,105.31,0.44,5.91,136.87,2.81,87.08,0.07,2.74,2026-05-23 23:00:00
312.31,0.02,127.92,0.24,10.01,105.96,0.42,5.98,11.44,106.8,0.43,5.84,143.44,2.56,94.19,0.06,2.66,2026-05-24
319.57,0.01,127.92,0.24,9.89,107.68,0.42,5.9,11.42,108.32,0.42,5.78,150.17,2.53,98.4,0.05,2.65,2026-05-24 01:00:00
175.85,0.01,127.97,0.24,9.78,109.09,0.41,5.87,11.39,110.27,0.42,5.71,156.06,2.55,103.9,0.06,2.7,2026-05-24 02:00:00
172.22,0.02,127.99,0.23,9.42,110.92,0.41,5.78,11.37,111.81,0.41,5.67,142.09,2.61,40.81,0.03,3.59,2026-05-24 03:00:00
183.04,0.04,128.09,0.23,9.32,112.4,0.4,5.79,11.34,113.19,0.41,5.63,128.04,2.66,95.17,0.06,2.68,2026-05-24 04:00:00
190.93,0.06,128.11,0.23,9.21,113.73,0.4,5.76,11.32,114.62,0.41,5.55,125.8,2.92,90.97,0.07,2.74,2026-05-24 05:00:00
194.14,0.07,128.09,0.23,9.11,115.9,0.4,5.68,11.31,115.97,0.41,5.51,124.44,2.95,121.43,0.08,1.65,2026-05-24 06:00:00
197.21,0.08,128.32,0.23,9.02,116.87,0.4,5.67,11.31,116.93,0.43,5.36,113.18,2.89,78.94,0.1,2.84,2026-05-24 07:00:00
199.36,0.08,128.24,0.22,9.1,118.16,0.41,5.61,11.31,117.55,0.45,5.14,103.03,3.26,107.66,0.16,1.96,2026-05-24 08:00:00
198.79,0.08,128.39,0.22,9.02,118.96,0.43,5.42,11.32,118.46,0.47,4.96,101.96,3.53,113.08,0.18,1.99,2026-05-24 09:00:00
193.98,0.08,128.26,0.21,9.18,119.75,0.45,5.33,11.33,119.55,0.5,4.83,115.79,3.82,116.46,0.2,2.12,2026-05-24 10:00:00
190.07,0.08,128.4,0.22,9.11,121.8,0.45,5.45,11.34,120.59,0.53,4.67,123.95,4.18,117.02,0.27,2.39,2026-05-24 11:00:00
189.81,0.07,128.81,0.21,8.9,123.6,0.48,5.23,11.35,121.25,0.56,4.58,117.67,3.74,114.59,0.27,2.34,2026-05-24 12:00:00
187.25,0.06,128.28,0.2,9.18,126.53,0.5,5.23,11.34,121.4,0.59,4.52,112.21,3.83,106.83,0.3,2.48,2026-05-24 13:00:00
181.69,0.06,128.57,0.2,9.11,128.91,0.52,5.22,11.33,120.8,0.63,4.47,101.58,4.6,99.79,0.34,2.6,2026-05-24 14:00:00
172.91,0.05,127.94,0.18,9.48,130.5,0.54,5.2,11.31,119.7,0.67,4.43,94.72,5,93.52,0.38,2.72,2026-05-24 15:00:00
158.45,0.04,128.42,0.18,9.43,130.4,0.57,5.2,11.3,118.94,0.71,4.43,86.37,4.87,92.97,0.41,2.78,2026-05-24 16:00:00
146.18,0.04,127.85,0.17,9.85,128,0.61,5.19,11.29,118.96,0.74,4.48,87.78,4.75,94.92,0.41,2.72,2026-05-24 17:00:00
149.56,0.05,128.77,0.16,9.81,126.01,0.69,5.02,11.27,119.36,0.76,4.59,58.3,4.55,77.14,0.32,2.52,2026-05-24 18:00:00
